place_id,name,state,lga,lat,lon,use_for_reachability,anchor_source,anchor_status,anchor_lat,anchor_lon,road_snap_distance_m,road_snap_status,road_snap_highway,road_snap_road_name,input_lat,input_lon,gazetteer_type,gazetteer_lga,gazetteer_seen_types,area_sqkm,point_method,is_hub,place_type,loc_code,source,source_objectid,official_name_raw,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m,graph_component_id,hub_component_candidate_count,all_component_candidate_count,mainland_filter_reason,gazetteer_ref_number,input_to_anchor_distance_m,road_snap_lat,road_snap_lon,road_snap_search_radius_m,road_snap_edge_u,road_snap_edge_v,road_snap_edge_key,road_snap_osmid,road_snap_edge_length_m,road_snap_used_avoided_road_type
qld_locality_8,Abergowrie,QLD,Hinchinbrook Shire,-18.47552700,145.88584207,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-18.47556000,145.88611000,28.5,snapped_to_nearest_usable_road,,,-18.4381149,145.9240334,POPL,Hinchinbrook Shire,POPL;LOCB,306.261403,road_node_inside_locality_hub_component,0,locality_road_representative_point,8,qld_admin_boundaries_locality_boundary,26,Abergowrie,1254205,-18.4389050,145.9240721,92.8,0,82,88,,37,5773.8,-18.47552700,145.88584207,50.0,1254057,1254377,0,,129.5,false
qld_locality_11,Acacia Ridge,QLD,Brisbane City,-27.58573635,153.02660080,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-27.58583000,153.02611000,49.0,snapped_to_nearest_usable_road,,,-27.5843451,153.0221361,SUB,Brisbane City,SUB,8.607833,road_node_inside_locality_hub_component,0,locality_road_representative_point,11,qld_admin_boundaries_locality_boundary,29,Acacia Ridge,3108037,-27.5843114,153.0219932,16.5,0,908,908,,46543,425.0,-27.58573635,153.02660080,50.0,3106858,3106850,0,,183.5,false
qld_locality_12,Acland,QLD,Toowoomba Regional,-27.30465314,151.69029318,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-27.30472000,151.69028000,7.6,snapped_to_nearest_usable_road,,,-27.3098558,151.6876590,POPL,Toowoomba Regional,POPL;LOCB,38.318547,road_node_inside_locality_hub_component,0,locality_road_representative_point,12,qld_admin_boundaries_locality_boundary,30,Acland,1718187,-27.3177836,151.6830973,1115.5,0,32,32,,42711,627.0,-27.30465314,151.69029318,50.0,1725492,1725497,0,,233.1,false
qld_locality_3372,Adavale,QLD,Quilpie Shire,-25.91063971,144.60030067,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-25.91083000,144.60056000,33.4,snapped_to_nearest_usable_road,,,-25.9464348,144.6725257,POPL,Quilpie Shire,POPL;PRSH;LOCB,21356.116029,road_node_inside_locality_hub_component,0,locality_road_representative_point,3372,qld_admin_boundaries_locality_boundary,32,Adavale,600751,-25.9164735,144.6954857,4504.1,0,139,139,,104,8213.8,-25.91063971,144.60030067,50.0,620108,620107,0,,154.2,false
qld_locality_18,Aeroglen,QLD,Cairns Regional,-16.87542000,145.75869600,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-16.87611000,145.75972000,133.3,snapped_to_nearest_usable_road,,,-16.8754200,145.7586960,SUB,Cairns Regional,SUB,13.822309,road_node_inside_locality_hub_component,0,locality_road_representative_point,18,qld_admin_boundaries_locality_boundary,35,Aeroglen,389346,-16.8762191,145.7641793,617.4,0,366,366,,48491,133.3,-16.87542000,145.75869600,200.0,389339,389346,0,,89.9,false
qld_locality_22,Agnes Water,QLD,Gladstone Regional,-24.21255008,151.90324452,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-24.21258570,151.90327882,5.3,snapped_to_nearest_usable_road,,,-24.2289345,151.9067404,POPL,Gladstone Regional,LAGN;POPL;LOCB,58.877649,road_node_inside_locality_hub_component,0,locality_road_representative_point,22,qld_admin_boundaries_locality_boundary,9,Agnes Water,1084957,-24.2244791,151.9068073,543.9,0,305,306,,39140,1851.5,-24.21255008,151.90324452,50.0,828275,828279,0,,30.6,false
qld_locality_4688,Airlie Beach,QLD,Whitsunday Regional,-20.27196760,148.71795620,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-20.27196760,148.71795620,0.0,snapped_to_nearest_usable_road,,,-20.2719676,148.7179562,,,LOCU;LOCB,3.223724,road_node_inside_locality_hub_component,0,locality_road_representative_point,4688,qld_admin_boundaries_locality_boundary,11,Airlie Beach,849099,-20.2722548,148.7182332,46.0,0,233,233,,,0.0,-20.27196760,148.71795620,50.0,849099,849097,0,,119.7,false
qld_locality_23,Airville,QLD,Burdekin Shire,-19.64053880,147.35560120,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-19.64053880,147.35560120,0.0,snapped_to_nearest_usable_road,,,-19.6405388,147.3556012,,,LOCB,43.912658,road_node_inside_locality_hub_component,0,locality_road_representative_point,23,qld_admin_boundaries_locality_boundary,12,Airville,1041115,-19.6372468,147.3505663,682.3,0,44,44,,,0.0,-19.64053880,147.35560120,50.0,1041115,740563,0,,1401.8,false
qld_locality_24,Aitkenvale,QLD,Townsville City,-19.30549696,146.76778688,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-19.30556000,146.76778000,7.0,snapped_to_nearest_usable_road,,,-19.2988174,146.7695904,SUB,Townsville City,SUB,3.3033200000000003,road_node_inside_locality_hub_component,0,locality_road_representative_point,24,qld_admin_boundaries_locality_boundary,13,Aitkenvale,59126,-19.2989136,146.7693957,24.5,0,362,362,,44562,773.4,-19.30549696,146.76778688,50.0,59115,59117,0,,120.3,false
qld_locality_5298,Alabama Hill,QLD,Charters Towers Regional,-20.08350434,146.24727296,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-20.08333000,146.24778000,56.2,snapped_to_nearest_usable_road,,,-20.0827743,146.2498480,SUB,Charters Towers Regional,SUB,0.791393,road_node_inside_locality_hub_component,0,locality_road_representative_point,5298,qld_admin_boundaries_locality_boundary,14,Alabama Hill,1030757,-20.0820180,146.2493565,105.0,0,16,16,,44533,224.6,-20.08350434,146.24727296,100.0,1030831,1030753,0,,920.3,false
