scenario,closure_id,category_norm,passability_norm,status_norm,title,road_name,locality,description,restrictions_text,source_event_id,raw_advice,raw_event_type,raw_event_subtype,raw_impact_type,raw_impact_subtype,raw_properties_json,geometry_type,nearest_edge_m,reason,url
impassable_only,qld.qldtraffic.6bb1331859308d56b7a5,road_closed,impassable,active,,Duck Creek Road,Cainbable / Kerry,Vehicle access is closed to all vehicles and will remain closed until further notice | Road closed to all traffic,Use alternative route,248797,Use alternative route,Hazard,Road damage,Closures,Road closed to all traffic,"{""id"": 248797, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""EPS"", ""source_id"": null, ""account"": null, ""provided_by"": ""Department of Transport and Main Roads"", ""provided_by_url"": ""https://qldtraffic.qld.gov.au""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/248797"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Road damage"", ""event_due_to"": null, ""impact"": {""direction"": ""All directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": null}, ""duration"": {""start"": ""2017-09-06T09:39:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Low"", ""description"": ""Vehicle access is closed to all vehicles and will remain closed until further notice "", ""advice"": ""Use alternative route"", ""information"": null, ""road_summary"": {""road_name"": ""Duck Creek Road"", ""locality"": ""Cainbable / Kerry"", ""postcode"": ""4285"", ""local_government_area"": ""Scenic Rim Regional"", ""district"": ""South Coast""}, ""last_updated"": ""2026-09-23T19:48:00.174615+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiLineString,17.3,line: blocked 0 of 0 candidate edge(s) within 10m; name-confirmed=0; distance-body=0,https://api.qldtraffic.qld.gov.au/v2/events/248797
impassable_only,qld.qldtraffic.78c087841211e818a89b,road_closed,impassable,active,,Old Esk Road,Teelah,Old Esk Road closed at Scotts Close due to bushfires. Avoid the area. | Road closed to all traffic,Avoid the area,829875,Avoid the area,Hazard,Fire,Closures,Road closed to all traffic,"{""id"": 829875, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""Guardian"", ""source_id"": ""f84788d1-6a38-4ea9-a8dd-ecaa8a44915c"", ""account"": ""36630"", ""provided_by"": ""South Burnett Regional Council"", ""provided_by_url"": ""http://www.southburnett.qld.gov.au/""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/829875"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Fire"", ""event_due_to"": null, ""impact"": {""direction"": ""All directions"", ""towards"": """", ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": """"}, ""duration"": {""start"": ""2026-09-23T08:00:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": ""Old Esk Road closed at Scotts Close due to bushfires. Avoid the area."", ""advice"": ""Avoid the area"", ""information"": null, ""road_summary"": {""road_name"": ""Old Esk Road"", ""locality"": ""Teelah"", ""postcode"": ""4314"", ""local_government_area"": ""South Burnett Regional"", ""district"": ""Wide Bay/Burnett""}, ""last_updated"": ""2026-09-23T12:00:02.826657+10:00"", ""next_inspection"": null, ""web_link"": """", ""alert_message"": null}",MultiLineString,1.3,line: blocked 0 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=0; rejected cross/short-touch=2; no graph road-name match; used strict distance-only body matching,https://api.qldtraffic.qld.gov.au/v2/events/829875
all_blocking,qld.qldtraffic.6bb1331859308d56b7a5,road_closed,impassable,active,,Duck Creek Road,Cainbable / Kerry,Vehicle access is closed to all vehicles and will remain closed until further notice | Road closed to all traffic,Use alternative route,248797,Use alternative route,Hazard,Road damage,Closures,Road closed to all traffic,"{""id"": 248797, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""EPS"", ""source_id"": null, ""account"": null, ""provided_by"": ""Department of Transport and Main Roads"", ""provided_by_url"": ""https://qldtraffic.qld.gov.au""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/248797"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Road damage"", ""event_due_to"": null, ""impact"": {""direction"": ""All directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": null}, ""duration"": {""start"": ""2017-09-06T09:39:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Low"", ""description"": ""Vehicle access is closed to all vehicles and will remain closed until further notice "", ""advice"": ""Use alternative route"", ""information"": null, ""road_summary"": {""road_name"": ""Duck Creek Road"", ""locality"": ""Cainbable / Kerry"", ""postcode"": ""4285"", ""local_government_area"": ""Scenic Rim Regional"", ""district"": ""South Coast""}, ""last_updated"": ""2026-09-23T19:48:00.174615+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiLineString,17.3,line: blocked 0 of 0 candidate edge(s) within 10m; name-confirmed=0; distance-body=0,https://api.qldtraffic.qld.gov.au/v2/events/248797
all_blocking,qld.qldtraffic.78c087841211e818a89b,road_closed,impassable,active,,Old Esk Road,Teelah,Old Esk Road closed at Scotts Close due to bushfires. Avoid the area. | Road closed to all traffic,Avoid the area,829875,Avoid the area,Hazard,Fire,Closures,Road closed to all traffic,"{""id"": 829875, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""Guardian"", ""source_id"": ""f84788d1-6a38-4ea9-a8dd-ecaa8a44915c"", ""account"": ""36630"", ""provided_by"": ""South Burnett Regional Council"", ""provided_by_url"": ""http://www.southburnett.qld.gov.au/""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/829875"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Fire"", ""event_due_to"": null, ""impact"": {""direction"": ""All directions"", ""towards"": """", ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": """"}, ""duration"": {""start"": ""2026-09-23T08:00:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": ""Old Esk Road closed at Scotts Close due to bushfires. Avoid the area."", ""advice"": ""Avoid the area"", ""information"": null, ""road_summary"": {""road_name"": ""Old Esk Road"", ""locality"": ""Teelah"", ""postcode"": ""4314"", ""local_government_area"": ""South Burnett Regional"", ""district"": ""Wide Bay/Burnett""}, ""last_updated"": ""2026-09-23T12:00:02.826657+10:00"", ""next_inspection"": null, ""web_link"": """", ""alert_message"": null}",MultiLineString,1.3,line: blocked 0 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=0; rejected cross/short-touch=2; no graph road-name match; used strict distance-only body matching,https://api.qldtraffic.qld.gov.au/v2/events/829875
